Starting Registration 
*************************************************
  N=128   NUMBER OF CORRECTIONS=5       INITIAL VALUES F= 1273.94   GNORM= 3136.76
*************************************************
   I   NFN    FUNC        GNORM       STEPLENGTH
  47   60       593.434  156850.970       0.616
  48   62       591.848  122467.849       0.670
  49   63       590.333   79703.417       1.500
  50   64       588.944   88472.091       1.500
  51   65       586.798   81738.597       1.500
  52   66       585.303  152991.797       1.500
  53   67       582.760   91165.338       1.500
  54   68       581.341   57115.986       1.500
  55   69       579.540  140791.948       1.500
  56   71       578.840  107738.328       0.266
  57   72       577.497   95649.860       1.500
  58   73       574.786   94418.317       1.500
  59   74       571.498  130626.872       1.500
  60   76       569.310   98957.631       0.564
  61   77       566.783   85514.494       1.500
  62   79       566.286   77535.974       0.241
  63   80       565.478   74520.811       1.500
  64   81       564.709   46832.239       1.500
  65   82       563.948   43846.546       1.500
  66   84       563.623   49556.650       0.485
  67   85       563.002   47273.414       1.500
  68   87       562.795   53495.980       0.383
  69   88       562.136   59487.982       1.500
  70   89       561.983  114056.249       1.500
  71   90       561.530   73044.460       1.500
  72   91       561.160   42324.549       1.500
  73   92       560.966   54152.548       1.500
  74   93       560.633   57807.374       1.500
  75   95       560.416   70380.962       0.307
  76   96       560.104   58887.923       1.500
  77   97       559.798  121689.300       1.500
  78   98       558.537   30875.382       1.500
  79   99       558.262   32899.533       1.500
  80  101       558.155   49919.584       0.192
  81  102       557.998   52067.635       1.500
  82  103       557.726  113510.131       1.500
  83  104       557.342   34237.348       1.500
  84  105       557.119   23941.572       1.500
  85  106       556.771   42878.380       1.500
  86  108       556.691   54265.125       0.446
  87  110       556.502   40368.949       0.341
  88  112       556.408   36803.795       0.337
  89  114       556.354   28931.161       0.294
  90  116       556.179   26538.495       0.373
  91  118       556.167   27722.720       0.338
  92  120       556.077   33894.163       0.228
  93  122       555.875   25952.369       0.269
  94  124       555.832   29356.450       0.210
  95  126       555.822   24828.645       0.230
 IFLAG= -1  LINE SEARCH FAILED. SEE DOCUMENTATION OF ROUTINE MCSRCH ERROR RETURN OF LINE SEARCH: INFO= 3 POSSIBLE CAUSES: FUNCTION OR GRADIENT ARE INCORRECT OR INCORRECT TOLERANCES*************************************************
  N=1058   NUMBER OF CORRECTIONS=5       INITIAL VALUES F= 755.494   GNORM= 182338
*************************************************
   I   NFN    FUNC        GNORM       STEPLENGTH
   1    8       745.748  222133.341       0.000
   2    9       736.387  165967.017       1.500
   3   10       728.878  293760.836       1.500
   4   11       724.716  437294.827       1.500
   5   12       712.204  129023.628       1.500
   6   13       705.918  169377.306       1.500
   7   14       695.431  181155.129       1.500
   8   16       688.795  231830.302       0.471
   9   17       681.350  200634.135       1.500
  10   18       671.092  183262.272       1.500
  11   19       661.686  136646.703       1.500
  12   20       655.858  177674.363       1.500
  13   21       649.957  147105.452       1.500
  14   22       645.678  160374.548       1.500
  15   23       644.431  273378.433       1.500
  16   24       639.208   89662.011       1.500
  17   25       635.710  106388.297       1.500
  18   26       630.244  155236.627       1.500
  19   28       627.771  173925.779       0.379
  20   29       622.856  115097.712       1.500
  21   30       619.613  150616.981       1.500
  22   31       616.835  213717.345       1.500
  23   32       612.191   99760.309       1.500
  24   33       609.960  111622.659       1.500
  25   34       606.033  109036.012       1.500
  26   36       603.024  113904.763       0.584
  27   37       599.019  113992.733       1.500
  28   38       595.567  145402.930       1.500
  29   39       592.121  144255.381       1.500
  30   41       590.876   87055.507       0.472
  31   42       589.426  118739.014       1.500
  32   43       585.302  108322.431       1.500
  33   44       584.178  171001.307       1.500
  34   45       580.433  177876.187       1.500
  35   46       575.949   82802.124       1.500
  36   47       573.614   70837.317       1.500
  37   48       571.960  188940.122       1.500
  38   50       570.125  100379.314       0.266
  39   51       568.259  117443.234       1.500
  40   52       565.558   73079.187       1.500
  41   53       563.963  112805.894       1.500
  42   55       561.779  120171.534       0.650
  43   56       559.536   77565.190       1.500
  44   58       558.638   99251.694       0.362
  45   59       557.774   98434.029       1.500
  46   60       555.392  100822.327       1.500
  47   61       552.547   74866.754       1.500
  48   62       550.481   67889.952       1.500
  49   63       550.255  156121.188       1.500
  50   64       548.644  169193.958       1.500
  51   65       546.824   86100.363       1.500
  52   66       546.167   47991.612       1.500
  53   67       545.204   67274.017       1.500
  54   68       543.680   97793.534       1.500
  55   70       541.708   82834.448       0.739
  56   71       540.399   57333.835       1.500
  57   72       539.347  105505.938       1.500
  58   74       538.618   60046.159       0.503
  59   75       537.739   78490.357       1.500
  60   76       536.243   70035.633       1.500
  61   77       534.527   91177.562       1.500
  62   79       532.562   66135.488       0.606
  63   80       531.520   59374.244       1.500
  64   81       530.677   74345.637       1.500
