113,3
112,17
112,24
111,32
110,42
111,50
112,57
113,63
115,69
118,76
121,85
124,91
128,97
131,104
136,111
141,119
147,127
151,136
155,144
157,149
163,155
169,161
173,171
178,178
182,185
186,192
188,198
192,204
196,213
201,219
203,226
207,235
209,242
213,248
213,255
217,255
217,255
219,255
221,255
223,255
223,255
223,255
223,255
225,255
227,255
229,255
225,255
220,255
219,255
219,255
219,255
219,255
216,255
215,255
214,255
213,255
212,255
211,255
207,255
203,255
200,255
195,255
188,255
182,255
174,255
168,255
159,255
150,255
139,255
128,255
117,255
101,255
91,255
78,255
66,255
60,255
49,255
41,255
32,255
24,255
18,255
12,255
11,255
11,255
9,255
94,3
89,9
84,15
77,22
70,28
61,41
54,45
45,57
41,63
32,71
27,82
24,86
21,96
21,107
20,116
